,post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,2,calypso,"Hey MarkYou say you change moods in the twinkling of an eye, and I would argue that is very rare in bipolar.",0.0,0.0,0.0,0.525945,0.0,0.579436,0.0
1,2,calypso,Have you been formally diagnosed?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,calypso,I am interested that meds don't work at all.,0.0,0.0,0.0,0.603531,0.0,0.874372,0.0
3,2,calypso,"Sometimes this is indicative, not of bipolar, but of borderline personality disorder.",0.0,0.0,0.0,0.52292,0.620279,0.0,0.88939
4,2,calypso,You could look this up on the site on here.,0.0,0.0,0.0,0.0,0.0,0.0,0.822231
5,2,calypso,"I am NOT diagnosing you, I cannot do that, of course, but the sudden swinging up and down as you feel is much more common in borderline.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,calypso,"There is treatment for borderline, a specific therapy called DBT (not CBT).",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,calypso,"I know very little about it, but others know a lot.",0.0,0.0,0.0,0.0,0.862286,0.0,0.0
8,2,calypso,"It may be an idea to check with your psychiatrist whether you have borderline, or that maybe they could look again at your symptoms.",0.0,0.0,0.0,0.0,0.702145,0.0,0.961411
9,2,calypso,"All of this is just a thought, and meds do not work on people with this disorder.",0.0,0.526909,0.0,0.637425,0.0,0.0,0.0
10,2,calypso,There is hope honey.,0.0,0.0,0.669877,0.0,0.0,0.0,0.984352
11,2,calypso,xx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,maxitab,Hi madmark.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,maxitab,"Twenty eitght years ago doctors were not very refined in their ability to diagnose, and to be honest, I would agree with mayfair, that this sounds much more like BPD to me than just about anything else.",0.0,0.0,0.0,0.0,0.0,0.0,0.819373
14,4,maxitab,Have you looked at the criteria/symptoms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,maxitab,"Many of us who have BPD do not respond to medication, but there are now a few very effective treatment ( not meds) options.",0.0,0.0,0.0,0.0,0.636458,0.560944,0.0
16,4,maxitab,"If this were me I would go to my GP and ask for a proper assessment with a clinical psychologist and put down the manic depression label, since it is not, IMO true for you.",0.0,0.0,0.0,0.828837,0.620279,0.0,0.0
17,4,maxitab,Once you have a better idea of what is going on you will be able to access help.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,maxitab,"It is out there, why go on suffering?",0.0,0.0,0.0,0.726247,0.0,0.0,0.0
19,6,maxitab,HI again mark.,0.0,0.0,0.0,0.0,0.620279,0.0,0.0
20,6,maxitab,"I am supposing the isolation is due to anxiety, it sounds like it.First,",0.0,0.763459,0.0,0.0,0.73677,0.0,0.716301
21,6,maxitab,"I do need to ask, do you want things to be different?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6,maxitab,Because anxiety is a symptom of something that is going on that is not being addressed.,0.0,0.831254,0.0,0.0,0.506763,0.0,0.615352
23,6,maxitab,"Also, are you in the UK because being given a phone number for counselling does not sound like the UK....There is a service called IAPT which your GP can refer you to - is this it?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6,maxitab,If you are getting no result then you need to insist!,0.0,0.0,0.0,0.0,0.905748,0.0,0.0
25,6,maxitab,Phone again and say you want to speak to the manager of the service and explain that you never get the promised appointment and ask who you can make a complaint with.,0.511454,0.0,0.0,0.0,0.0,0.0,0.0
26,6,maxitab,"It is amazing how people respond when you get a little pushy!In addition, there is some good help on line for anxiety, however, it is no good looking at it and thinkint 'that won't work for me' you have to be prepared to suspend your judgement and actually do it.",0.0,0.0,0.0,0.0,0.526316,0.0,0.0
27,6,maxitab,"If you want to try it, www.anxietycoach.comGood",0.0,0.0,0.0,0.0,0.724236,0.0,0.5538
28,6,maxitab,luck.,0.0,0.0,0.880435,0.0,0.0,0.0,0.99997
29,6,maxitab,Don't suffer in silence.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9,maxitab,"Mark, did you look at any of the link I posted?What did you think of the suggestion that this may well be untreated BPD?",0.0,0.0,0.0,0.0,0.953327,0.0,0.849846
31,9,maxitab,"I don't want to be or appear to be unsympathetic, but if it is BPD then I do feel you need to give the new more modern and aware Mental Health Service a second chance ( because you will be giving yourself a second chance along the way).Just because they failed you in the past is not a reason for staying angry at them.",0.522171,0.0,0.0,0.0,0.566847,0.0,0.764412
32,9,maxitab,If you always do what you have always done - you will always get what you have always got.,0.0,0.0,0.0,0.0,0.0,0.970053,0.0
33,9,maxitab,Try something new.,0.0,0.0,0.58483,0.0,0.0,0.0,0.998976
34,9,maxitab,"Get on the website, and go and ask your GP for a proper assessment.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,11,maxitab,Hi again.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11,maxitab,"The thing about the IAPT is that though they say 6 hours, they have the ability to extend it or to refer you to a different form of therapy if they think you need it, so though the 6 hours sounds silly, it could be good for what it may lead in to.I know one of the things lots of people do is to say they are OK when they are not so don't pull any punches with the therapist, say how things really are for you.I do hope you can get some ongoing help..........",0.0,0.0,0.0,0.0,0.0,0.0,0.686593
37,15,maxitab,Remember to keep your thoughts under control - you are in charge not them.,0.0,0.0,0.0,0.619475,0.851087,0.0,0.0
38,15,maxitab,Just because you have a thought that does not mean it is necessarily:True.Something you need to act on.A reason for feeling a certain way.Untrue!Any more important then the thought 'oh look its raining'.......,0.0,0.0,0.0,0.0,0.673299,0.0,0.525007
39,24,dawndeec,I was diagnosed with bipolar but my moods flip in a matter of minutes not weeks or months.,0.0,0.0,0.0,0.764217,0.0,0.0,0.5538
40,24,dawndeec,Its not like bipolar for them to change at this rate.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,24,dawndeec,I'm seeing a new psychiatrist soon for a new diagnosis were thinking its bpd.,0.0,0.0,0.0,0.0,0.560098,0.0,0.0
42,24,dawndeec,I also found anti depressents made me worse so I'm now on a atypical anti psychotic called seroquel xr.,0.0,0.0,0.0,0.59661,0.0,0.0,0.0
43,24,dawndeec,Which is also used for bpd it hasn't done wonders but its the best meds i have tried,0.0,0.0,0.54642,0.0,0.0,0.0,0.5538
44,35,TiredTina,"Hi madmark,Living with depression is extremely hard as I know from experience.",0.0,0.0,0.0,0.900884,0.589295,0.509368,0.0
45,35,TiredTina,It is a constant battle which is absolutely exhausting as it takes all your energy to keep up the fight.I picked up on the bit you wrote about thinking of leaving your wife and children.,0.0,0.0,0.0,0.0,0.0,0.741964,0.0
46,35,TiredTina,I can see what you mean about your illness affecting them as well but what you have to keep in mind is the affect your leaving would have which Im sure would be considerably worse.I see you are waiting for an appointment and hopefully when that finally happens they will be able to offer you the support you need.I see that this thread is called 'been a battle for 28 years with no medication'.,0.0,0.0,0.0,0.654687,0.517456,0.0,0.0
47,35,TiredTina,Im sorry I havent had time to read from the beginning so dont know the full story.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,35,TiredTina,I dont know whether the no meds situation is because you havent been prescribed them or you choose not to take them.,0.0,0.0,0.0,0.0,0.780088,0.0,0.88939
49,35,TiredTina,I will try and read your whole story so that I have a better picture.If you havent done so already would you consider starting your own journal on here where you can keep a log of how you are doing?Tina,0.0,0.0,0.0,0.545648,0.678929,0.0,0.0
50,46,lost!,if there is any kind of pattern to mine i have noticed more often than not lately i have 2 good 2 bad and 3 trying to pick up the pieces and apologise!,0.0,0.0,0.0,0.513491,0.859661,0.0,0.798791
51,46,lost!,"for the complete mess i have made of things meds not changed my thoughts or feelings just slightly towards my appearance due to me sleeping but nothing to make me feel something other than the feeling that i am some how always getting things wrong no matter how hard i try i always fail like i'm just not enough and then thats it i'm gone a wreck blank on the outside and just silently crying on the inside hurting but just cant say it,would be easier just to let some one know how your feeling just by a touch my life is such a mess the blank exterior gives the false impression of not caring almost to the point that my partner always thinks i am angry i just dont know how to explain all this to him so that he can understand and he is understandably angry with me right now and is trying to support me still.He just will not give up he doesn't listen when i tell him i am a lost cause what do i do?Lost!",0.0,0.0,0.0,0.638147,0.650285,0.0,0.629399
52,52,lost!,Mark you have to remember that no matter how you feel you have always and will always remain a very large and loved part of your families life no matter how down you get and how hard you push they are always waiting there for you when your mind returns you know what i am saying is right you tell me often enough!,0.0,0.0,0.583577,0.0,0.649361,0.704642,0.0
53,52,lost!,why not try to plan a surprise family get together over christmas never know bit of fesvive magic and a romantic glass in the still of the night with just you your wife and the snow may help remind you why we fight this because our loved ones are worth it they believe in us even threw the darkest of days with or without understanding or knowledge of what is the cause and more often than not wondering if it is their fault but yet past the dark and the grey you know that your wife is with you anxiously waiting for that little glint that tiniest of shimmer in your eye that lets her know that you are still there just temporarily unable to communicate that one little ray of light tells her that you love her and to her will be all she needs to help her be there to support you.xx please keep strong we seem to both be hitting our 2 down again.,0.0,0.0,0.0,0.588245,0.52045,0.0,0.507098
54,61,madsue40,You could be describing me here!,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
55,61,madsue40,I have a lovely family and have been married for20 years but at the moment I feel so disconnected from everything.,0.0,0.0,0.750782,0.0,0.0,0.0,0.0
56,61,madsue40,I push my husband to see if he is going to leave me but he doesn't - he loves me!,0.0,0.0,0.0,0.540842,0.0,0.0,0.0
57,61,madsue40,Don't know why?,0.0,0.0,0.0,0.0,0.955445,0.0,0.0
58,61,madsue40,My psychologist says I have to learn to connect with myself first then I might be able to connect with others!,0.0,0.0,0.755088,0.0,0.85365,0.0,0.0
59,61,madsue40,But it's bloody difficult!!Perhaps if you get an assessment you might need to do this also?My thoughts are with you - life is so bloody difficult!,0.0,0.0,0.0,0.572676,0.0,0.0,0.698904
60,64,lost!,another like me and mark hi there I push to stop from hurting my partner if you read the posts between mark and myself in marks posts you may feel like you can find understanding in the strangest of places there is always a friend around even if it is a stranger sometimes they make the best of friends such as Mark he has been such a life line and always here with a note of encouragement waiting for me when i need it that is something you don't get from meeting people outside as they don't get to understand you as you don't let your random thoughts out so they are unsure of your frame of mind.you,0.0,0.0,0.0,0.510256,0.675176,0.0,0.0
61,64,lost!,think it is easier to push your husband away to test him but why not see if it isn't just being with him that you are scared of it is such a good feeling to get that reassurance you need with a cuddle a snuggle up on a cold night with a cup of hot chocolate and funny film watching the snow fall threw the frosted up windows Christmas magic let it in and you will feel it help bring memories back your husband loves you he isn't going antwhere 20 years is a long time ti push and he is still there with you waiting patiently for the good days that you are the woman he feel in love with the 1 that in he's eyes is the love of he's life or would have gone you have to accept that before you push yourself he loves you not for you to question why just accept as i do with my partner and realise that no matter what your faults he see's past them as you are he's life! as we believe that our partners live with our illness it is just a fault in our brains our partners have their own faults in their eyes that we do not see because above all we love them no matter what as they love us.please,0.0,0.0,0.701156,0.0,0.0,0.0,0.0
62,64,lost!,remember that next time you see snow fall on a night and put the kettle on,0.0,0.0,0.0,0.0,0.664451,0.0,0.0
63,86,wendolene26,Hello madmarkI'm sorry you are having such a bad time at the moment.,0.0,0.0,0.0,0.711864,0.0,0.0,0.0
64,86,wendolene26,"Try not to blame yourself too much, it is the depression talking and the depression which causes these thoughts and feelings.",0.0,0.0,0.0,0.965652,0.670204,0.0,0.0
65,86,wendolene26,"Perhaps instead of trying to talk to your wife and it ending up in an exchange of insults, why don't you write her a note explaining how you feel.",0.566857,0.0,0.0,0.0,0.0,0.0,0.664718
66,86,wendolene26,She can then read this at her leisure and think about things.take,0.0,0.0,0.0,0.0,0.842108,0.0,0.0
67,86,wendolene26,"care,Wendolene",0.0,0.0,0.0,0.564889,0.0,0.0,0.0
68,96,madmark,well been for my 6 sessions and now been put on to open ended counsoling got to go again in 2 weeks and start paying for every session pmsl done all 6 meeting no review report and no real feedback realy cant see the point of carrying on with it what is it ment to do ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,96,madmark,i can talk to anybody for free so why pay to talk to a stranger lol what a complete waste of time that was so it meens i still aint going to find any awnsers realy has pissed me off is there any awnsers or is it just we ment to suffer untill we deside we realy cant keep batteling our way through day to day and decide to give in and end it all,0.685947,0.0,0.0,0.0,0.0,0.0,0.0
70,100,opendoorpsychiatry,"Hello MadMark,I am joining this thread very late, but I can see that you have been having a very difficult time.",0.0,0.0,0.0,0.0,0.0,0.825035,0.0
71,100,opendoorpsychiatry,"It sounds as if that medicines haven't really helped you so far, and the counselling is coming to an end and you are still feeling awful.I would suggest going back to your GP to explain how things just aren't getting any better.",0.0,0.0,0.0,0.684136,0.711887,0.0,0.590113
72,100,opendoorpsychiatry,It is really important for them to know about the suicidal thoughts you have had so that they can ensure that you get the sort of help you need (by the way I don't mean being sectioned to hospital - that very rarely happens to people with depression these days).,0.0,0.0,0.0,0.954754,0.831014,0.0,0.0
73,100,opendoorpsychiatry,I wonder if you might benefit from having another go with a psychiatrist?,0.0,0.0,0.0,0.0,0.589295,0.0,0.933436
74,100,opendoorpsychiatry,They can help make the proper diagnosis and may be able to receommend treatmetns which your GP can't access.I hope things start to improve soon.,0.0,0.0,0.0,0.0,0.0,0.0,0.716301
75,100,opendoorpsychiatry,"Life always looks very bleak when one is depressed, but it doesn't have to be that way and most people find something which helps, though it can be a painfully slow business getting there.Best wishes,Andy",0.0,0.0,0.0,0.648305,0.0,0.0,0.0
76,102,madmark,cbt whats that lol ?,0.0,0.0,0.579427,0.0,0.0,0.0,0.0
77,102,madmark,hope you ok and well thank you for getting back to me,0.0,0.0,0.0,0.0,0.0,0.0,0.75152
